R,L,C,Time,Vin,VR,VL,VC,I
22000.0,1e-05,1.005e-06,0.02241696549138762,16.75,6.076967880626791,-0.0002590686565167033,10.673291188029726,0.0002762258127557632
22000.0,1e-05,1.005e-06,0.022969715502751255,16.75,5.926407791943545,0.00025882103498098274,10.823333387021474,0.0002693821723610702
22000.0,1e-05,1.005e-06,0.023522465514114892,16.75,5.780588220672302,-0.0002590608599337685,10.969670840187632,0.00026275401003055915
22000.0,1e-05,1.005e-06,0.02407521552547853,16.75,5.6373461519463355,0.0002588252741198005,11.112395022779545,0.0002562430069066516
22000.0,1e-05,1.005e-06,0.024627965536842166,16.75,5.498663902044385,-0.00025905336054066197,11.251595151316156,0.0002499392682747448
22000.0,1e-05,1.005e-06,0.025180715548205803,16.75,5.362382931253128,0.0002588292234300127,11.387358239523442,0.000243744678693324
22000.0,1e-05,1.005e-06,0.02573346555956944,16.75,5.2304898935877375,-0.0002590461438440883,11.519769152556107,0.00023774954061762444
22000.0,1e-05,1.005e-06,0.026286215570933077,16.75,5.100830506885988,0.0002588328970460907,11.648910660216966,0.00023185593213118126
22000.0,1e-05,1.005e-06,0.026838965582296714,16.75,4.97539555067025,-0.000259039196052413,11.774863488525803,0.00022615434321228406
22000.0,1e-05,1.005e-06,0.02739171559366035,16.75,4.852034793340202,0.00025883630841683214,11.897706370351381,0.00022054703606091828
22000.0,1e-05,1.005e-06,0.027944465605023987,16.75,4.73274293804724,-0.0002590325040543462,12.017516094456814,0.00021512467900214726
22000.0,1e-05,1.005e-06,0.028497215616387624,16.75,4.615373606859249,0.00025883947033200627,12.134367553670419,0.00020978970940269313
22000.0,1e-05,1.005e-06,0.02904996562775126,16.75,4.501925234524695,-0.00025902605537275747,12.248333791530678,0.00020463296520566794
22000.0,1e-05,1.005e-06,0.029602715639114898,16.75,4.390255109489079,0.0002588423949614338,12.35948604811596,0.00019955705043132177
22000.0,1e-05,1.005e-06,0.030155465650478535,16.75,4.282365215431986,-0.0002590198381433595,12.467893804406158,0.00019465296433781752
22000.0,1e-05,1.005e-06,0.030708215661842172,16.75,4.176116329020655,0.0002588450938745268,12.57362482588547,0.00018982346950093885
22000.0,1e-05,1.005e-06,0.031260965673205805,16.75,4.073513809109002,-0.0002590138410791809,12.676745204732077,0.00018515971859586373
22000.0,1e-05,1.005e-06,0.03181371568456944,16.75,3.9724217511193434,0.00025884757808647407,12.77731940130257,0.00018056462505087925
22000.0,1e-05,1.005e-06,0.03236646569593308,16.75,3.8748487237978164,-0.00025900805343681554,12.87541028425562,0.00017612948744535529
22000.0,1e-05,1.005e-06,0.032919215707296716,16.75,3.7786619801205443,0.0002588498580635701,12.971079170021392,0.000171757362732752
22000.0,1e-05,1.005e-06,0.03347196571866035,16.75,3.6858731415050645,-0.00025900246500754065,13.064385860959943,0.00016753968825023021
22000.0,1e-05,1.005e-06,0.03402471573002399,16.75,3.5943524651423235,0.00025885194377295306,13.155388682913904,0.00016337965750646926
22000.0,1e-05,1.005e-06,0.03457746574138763,16.75,3.5061144755686104,-0.00025899706607290796,13.244144521497462,0.0001593688397985732
22000.0,1e-05,1.005e-06,0.03513021575275126,16.75,3.4190322883295092,0.00025885384468260497,13.330708857825808,0.00015541055856043223
22000.0,1e-05,1.005e-06,0.0356829657641149,16.75,3.335123188821516,-0.00025899184739408554,13.415135803025878,0.00015159650858279617
22000.0,1e-05,1.005e-06,0.03623571577547854,16.75,3.2522630121987284,0.0002588555698146422,13.497478132231457,0.00014783013691812403
22000.0,1e-05,1.005e-06,0.036788465786842174,16.75,3.172471669397737,-0.0002589868001763307,13.57778731740244,0.00014420325769989715
22000.0,1e-05,1.005e-06,0.03734121579820581,16.75,3.093627583202066,0.0002588571277382101,13.656113559670196,0.0001406194356000939
22000.0,1e-05,1.005e-06,0.03789396580956945,16.75,3.017753161368237,-0.0002589819160618845,13.732505820547825,0.00013717059824401077
22000.0,1e-05,1.005e-06,0.038446715820933085,16.75,2.9427292887671506,0.00025885852661033937,13.807011852706239,0.00013376042221668866
22000.0,1e-05,1.005e-06,0.03899946583229672,16.75,2.8705807475331984,-0.00025897718709266826,13.879678229653894,0.00013048094306969085
22000.0,1e-05,1.005e-06,0.03955221584366036,16.75,2.799190765205667,0.00025885977418838024,13.950550375020145,0.00012723594387298488
22000.0,1e-05,1.005e-06,0.040104965855023995,16.75,2.7305863818266136,-0.0002589726057049546,14.019672590779091,0.00012411756281030062
22000.0,1e-05,1.005e-06,0.04065771586638763,16.75,2.662653054009155,0.0002588608778530954,14.087088085112992,0.0001210296842731434
22000.0,1e-05,1.005e-06,0.04121046587775127,16.75,2.5974199689134423,-0.0002589681646991693,14.152838999251257,0.0001180645440415201
22000.0,1e-05,1.005e-06,0.041763215889114906,16.75,2.532774704172194,0.00025886184462287076,14.216966433983183,0.00011512612291691792
22000.0,1e-05,1.005e-06,0.04231596590047854,16.75,2.4707484886776214,-0.000258963857229233,14.279510475179608,0.00011230674948534643
22000.0,1e-05,1.005e-06,0.04286871591184218,16.75,2.40923091829797,0.000258862681176808,14.340510219020853,0.00010951049628627137
22000.0,1e-05,1.005e-06,0.04342146592320582,16.75,2.3502551634114734,-0.00025895967678302156,14.40000379626531,0.00010682978015506698
22000.0,1e-05,1.005e-06,0.043974215934569454,16.75,2.291712740350908,0.00025886339386360646,14.458028396255228,0.00010416876092504128
