R,C,V_in,V_out
1181.8181818181818,2.5999999999999997e-06,5.0,0.0
1181.8181818181818,2.6999999999999996e-06,5.0,0.0
1181.8181818181818,2.8e-06,5.0,0.0
1181.8181818181818,2.8999999999999998e-06,5.0,0.0
1181.8181818181818,2.9999999999999997e-06,5.0,0.0
1181.8181818181818,3.1e-06,5.0,0.0
1181.8181818181818,3.2e-06,5.0,0.0
1181.8181818181818,3.2999999999999997e-06,5.0,0.0
1181.8181818181818,3.3999999999999996e-06,5.0,0.0
1181.8181818181818,3.4999999999999995e-06,5.0,0.0
1181.8181818181818,3.6e-06,5.0,0.0
1181.8181818181818,3.6999999999999997e-06,5.0,0.0
1181.8181818181818,3.7999999999999996e-06,5.0,0.0
1181.8181818181818,3.9e-06,5.0,0.0
1181.8181818181818,4e-06,5.0,0.0
1181.8181818181818,4.1e-06,5.0,0.0
1181.8181818181818,4.2e-06,5.0,0.0
1181.8181818181818,4.2999999999999995e-06,5.0,0.0
1181.8181818181818,4.399999999999999e-06,5.0,0.0
1181.8181818181818,4.5e-06,5.0,0.0
1181.8181818181818,4.6e-06,5.0,0.0
1181.8181818181818,4.7e-06,5.0,0.0
1181.8181818181818,4.8e-06,5.0,0.0
1181.8181818181818,4.9e-06,5.0,0.0
1181.8181818181818,4.9999999999999996e-06,5.0,0.0
1181.8181818181818,5.0999999999999995e-06,5.0,0.0
1181.8181818181818,5.199999999999999e-06,5.0,0.0
1181.8181818181818,5.299999999999999e-06,5.0,0.0
1181.8181818181818,5.4e-06,5.0,0.0
1181.8181818181818,5.5e-06,5.0,0.0
1181.8181818181818,5.6e-06,5.0,0.0
1181.8181818181818,5.7e-06,5.0,0.0
1181.8181818181818,5.7999999999999995e-06,5.0,0.0
1181.8181818181818,5.899999999999999e-06,5.0,0.0
1181.8181818181818,5.999999999999999e-06,5.0,0.0
1181.8181818181818,6.1e-06,5.0,0.0
1181.8181818181818,6.2e-06,5.0,0.0
1181.8181818181818,6.3e-06,5.0,0.0
1181.8181818181818,6.4e-06,5.0,0.0
1181.8181818181818,6.5e-06,5.0,0.0
1181.8181818181818,6.5999999999999995e-06,5.0,0.0
1181.8181818181818,6.699999999999999e-06,5.0,0.0
1181.8181818181818,6.799999999999999e-06,5.0,0.0
1181.8181818181818,6.899999999999999e-06,5.0,0.0
1181.8181818181818,7e-06,5.0,0.0
1181.8181818181818,7.1e-06,5.0,0.0
1181.8181818181818,7.2e-06,5.0,0.0
1181.8181818181818,7.2999999999999996e-06,5.0,0.0
1181.8181818181818,7.3999999999999995e-06,5.0,0.0
1181.8181818181818,7.499999999999999e-06,5.0,0.0
1181.8181818181818,7.599999999999999e-06,5.0,0.0
1181.8181818181818,7.7e-06,5.0,0.0
1181.8181818181818,7.8e-06,5.0,0.0
1181.8181818181818,7.9e-06,5.0,0.0
1181.8181818181818,8e-06,5.0,0.0
1181.8181818181818,8.1e-06,5.0,0.0
1181.8181818181818,8.200000000000001e-06,5.0,0.0
1181.8181818181818,8.3e-06,5.0,0.0
1181.8181818181818,8.400000000000001e-06,5.0,0.0
1181.8181818181818,8.5e-06,5.0,0.0
1181.8181818181818,8.6e-06,5.0,0.0
1181.8181818181818,8.7e-06,5.0,0.0
1181.8181818181818,8.8e-06,5.0,0.0
1181.8181818181818,8.900000000000001e-06,5.0,0.0
1181.8181818181818,9e-06,5.0,0.0
1181.8181818181818,9.100000000000001e-06,5.0,0.0
1181.8181818181818,9.2e-06,5.0,0.0
1181.8181818181818,9.3e-06,5.0,0.0
1181.8181818181818,9.4e-06,5.0,0.0
1181.8181818181818,9.5e-06,5.0,0.0
1181.8181818181818,9.6e-06,5.0,0.0
1181.8181818181818,9.7e-06,5.0,0.0
1181.8181818181818,9.800000000000001e-06,5.0,0.0
1181.8181818181818,9.9e-06,5.0,0.0
1181.8181818181818,1e-05,5.0,0.0
1272.7272727272727,1e-07,5.0,0.0
1272.7272727272727,2e-07,5.0,0.0
1272.7272727272727,3e-07,5.0,0.0
1272.7272727272727,4e-07,5.0,0.0
1272.7272727272727,5e-07,5.0,0.0
1272.7272727272727,6e-07,5.0,0.0
1272.7272727272727,7e-07,5.0,0.0
1272.7272727272727,8e-07,5.0,0.0
1272.7272727272727,9e-07,5.0,0.0
